PLAYER NAME,PLAYER TEAM,PLAYER POSITION,LOC,OPP,STATUS,PROJ,PASSING C/A,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL
Devin Singletary,Hou,RB,Away,Jax,W 37-17,5.7,0/0,0,0,0,9,41,0,2,4,0,2,0,0,0,6.5
Najee Harris,Pit,RB,Away,LV,W 23-18,12.7,0/0,0,0,0,19,65,0,0,0,0,1,0,0,0,6.5
Robert Woods,Hou,WR,Away,Jax,W 37-17,10.8,0/0,0,0,0,0,0,0,3,34,0,6,0,0,0,6.4
Allen Robinson II,Pit,WR,Away,LV,W 23-18,8.2,0/0,0,0,0,0,0,0,4,24,0,4,0,0,0,6.4
Zach Wilson,NYJ,QB,Home,NE,L 10-15,13.4,18/36,157,0,0,1,1,0,0,0,0,0,0,0,0,6.38
Desmond Ridder,Atl,QB,Away,Det,L 6-20,14.3,21/38,201,0,0,2,3,0,0,0,0,0,0,1,0,6.34
Darius Slayton,NYG,WR,Away,SF,L 12-30,7.0,0/0,0,0,0,0,0,0,3,32,0,6,0,0,0,6.2
Chris Moore,Ten,WR,Away,Cle,L 3-27,1.5,0/0,0,0,0,0,0,0,2,41,0,3,0,0,0,6.1
Wan'Dale Robinson,NYG,WR,Away,SF,L 12-30,2.9,0/0,0,0,0,0,0,0,4,21,0,5,0,0,0,6.1
Nick Bawden,NYJ,RB,Home,NE,L 10-15,0.0,0/0,0,0,0,1,1,1,0,0,0,0,0,0,0,6.1
Van Jefferson,LAR,WR,Away,Cin,L 16-19,9.2,0/0,0,0,0,1,4,0,1,46,0,3,0,0,0,6.0
David Njoku,Cle,TE,Home,Ten,W 27-3,8.4,0/0,0,0,0,0,0,0,4,20,0,4,0,0,0,6.0
Rashid Shaheed,NO,WR,Away,GB,L 17-18,9.7,0/0,0,0,0,1,0,0,0,0,0,2,0,0,1,6.0
Andrew Beck,Hou,RB,Away,Jax,W 37-17,0.8,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0
Dalvin Cook,NYJ,RB,Home,NE,L 10-15,10.1,0/0,0,0,0,8,18,0,3,11,0,3,0,0,0,5.9
Patrick Taylor,GB,RB,Home,NO,W 18-17,3.4,0/0,0,0,0,3,6,0,3,23,0,4,0,0,0,5.9
Kenneth Gainwell,Phi,RB,Away,TB,W 25-11,10.4,0/0,0,0,0,14,43,0,1,5,0,2,0,0,0,5.8
Tyler Conklin,NYJ,TE,Home,NE,L 10-15,6.2,0/0,0,0,0,0,0,0,3,26,0,5,0,0,0,5.6
Gary Brightwell,NYG,RB,Away,SF,L 12-30,5.6,0/0,0,0,0,4,5,0,2,31,0,3,0,0,0,5.6
Zach Charbonnet,Sea,RB,Home,Car,W 37-27,4.5,0/0,0,0,0,9,46,0,1,-1,0,2,0,0,0,5.5
Kareem Hunt,Cle,RB,Home,Ten,W 27-3,4.5,0/0,0,0,0,5,13,0,2,22,0,3,0,0,0,5.5
Nico Collins,Hou,WR,Away,Jax,W 37-17,12.6,0/0,0,0,0,0,0,0,2,34,0,3,0,0,0,5.4
Braxton Berrios,Mia,WR,Home,Den,W 70-20,8.5,0/0,0,0,0,0,0,0,2,33,0,2,0,0,0,5.3
Gus Edwards,Bal,RB,Home,Ind,L 19-22,12.9,0/0,0,0,0,11,51,0,0,0,0,0,0,0,0,5.1
Drake London,Atl,WR,Away,Det,L 6-20,11.0,0/0,0,0,0,0,0,0,2,31,0,6,0,0,0,5.1
Jonathan Mingo,Car,WR,Away,Sea,L 27-37,8.1,0/0,0,0,0,0,0,0,3,21,0,6,0,0,0,5.1
Jauan Jennings,SF,WR,Home,NYG,W 30-12,7.8,0/0,0,0,0,0,0,0,2,31,0,3,0,0,0,5.1
Darren Waller,NYG,TE,Away,SF,L 12-30,11.1,0/0,0,0,0,0,0,0,3,20,0,7,0,0,0,5.0
Tanner Hudson,Cin,TE,Home,LAR,W 19-16,0.0,0/0,0,0,0,0,0,0,2,30,0,4,0,0,0,5.0
Tyler Allgeier,Atl,RB,Away,Det,L 6-20,11.6,0/0,0,0,0,7,12,0,2,17,0,3,0,0,0,4.9
Tyjae Spears,Ten,RB,Away,Cle,L 3-27,5.5,0/0,0,0,0,4,6,0,4,3,0,4,0,0,0,4.9
Marquez Valdes-Scantling,KC,WR,Home,Chi,W 41-10,7.1,0/0,0,0,0,0,0,0,1,37,0,2,0,0,0,4.7
Samaje Perine,Den,RB,Away,Mia,L 20-70,10.0,0/0,0,0,0,3,9,0,2,15,0,3,0,0,0,4.4
Kendre Miller,NO,RB,Away,GB,L 17-18,7.9,0/0,0,0,0,9,34,0,1,0,0,1,0,0,0,4.4
Cole Kmet,Chi,TE,Away,KC,L 10-41,9.2,0/0,0,0,0,0,0,0,2,22,0,2,0,0,0,4.2
Ryan Tannehill,Ten,QB,Away,Cle,L 3-27,13.3,13/25,104,0,0,0,0,0,0,0,0,0,0,0,0,4.16
Tee Higgins,Cin,WR,Home,LAR,W 19-16,14.6,0/0,0,0,0,0,0,0,2,21,0,8,0,0,0,4.1
Jahan Dotson,Wsh,WR,Home,Buf,L 3-37,11.1,0/0,0,0,0,0,0,0,2,21,0,4,0,0,0,4.1
Ty Chandler,Min,RB,Home,LAC,L 24-28,6.5,0/0,0,0,0,3,27,0,1,4,0,2,0,0,0,4.1
Jameis Winston,NO,QB,Away,GB,L 17-18,0.0,10/16,101,0,0,0,0,0,0,0,0,0,0,0,0,4.04
Daniel Jones,NYG,QB,Away,SF,L 12-30,15.8,22/32,137,0,1,2,5,0,0,0,0,0,0,0,0,3.98
DeVante Parker,NE,WR,Away,NYJ,W 15-10,9.9,0/0,0,0,0,0,0,0,2,19,0,3,0,0,0,3.9
Trent Sherfield,Buf,WR,Away,Wsh,W 37-3,2.1,0/0,0,0,0,0,0,0,2,18,0,3,0,0,0,3.8
Breece Hall,NYJ,RB,Home,NE,L 10-15,10.7,0/0,0,0,0,12,18,0,1,9,0,2,0,0,0,3.7
Brandin Cooks,Dal,WR,Away,Ari,L 16-28,9.2,0/0,0,0,0,0,0,0,2,17,0,7,0,0,0,3.7
Hunter Henry,NE,TE,Away,NYJ,W 15-10,8.3,0/0,0,0,0,0,0,0,2,17,0,5,0,0,0,3.7
Chigoziem Okonkwo,Ten,TE,Away,Cle,L 3-27,7.4,0/0,0,0,0,0,0,0,3,7,0,4,0,0,0,3.7
Hunter Renfrow,LV,WR,Home,Pit,L 18-23,3.5,0/0,0,0,0,0,0,0,2,17,0,2,0,0,0,3.7
Ameer Abdullah,LV,RB,Home,Pit,L 18-23,3.8,0/0,0,0,0,0,0,0,2,16,0,3,0,0,0,3.6
Khalil Herbert,Chi,RB,Away,KC,L 10-41,10.4,0/0,0,0,0,7,31,0,2,4,0,2,0,1,0,3.5
Antonio Gibson,Wsh,RB,Home,Buf,L 3-37,6.3,0/0,0,0,0,2,17,0,3,7,0,5,0,1,0,3.4
AJ Dillon,GB,RB,Home,NO,W 18-17,14.0,0/0,0,0,0,11,33,0,0,0,0,0,0,0,0,3.3
Mack Hollins,Atl,WR,Away,Det,L 6-20,7.2,0/0,0,0,0,0,0,0,1,23,0,4,0,0,0,3.3
John Metchie III,Hou,WR,Away,Jax,W 37-17,1.0,0/0,0,0,0,0,0,0,2,13,0,2,0,0,0,3.3
Deonte Harty,Buf,WR,Away,Wsh,W 37-3,3.2,0/0,0,0,0,2,-2,0,2,15,0,3,0,0,0,3.3
Juwan Johnson,NO,TE,Away,GB,L 17-18,7.0,0/0,0,0,0,0,0,0,2,12,0,4,0,0,0,3.2
Brandon Johnson,Den,WR,Away,Mia,L 20-70,3.8,0/0,0,0,0,0,0,0,2,12,0,3,0,0,0,3.2
D'Ernest Johnson,Jax,RB,Home,Hou,L 17-37,2.0,0/0,0,0,0,3,6,0,2,6,0,2,0,0,0,3.2
John Bates,Wsh,TE,Home,Buf,L 3-37,6.1,0/0,0,0,0,0,0,0,2,12,0,2,0,0,0,3.2
Taysom Hill,NO,TE,Away,GB,L 17-18,7.5,0/0,0,0,0,4,12,0,1,9,0,1,0,0,0,3.1
Keaontay Ingram,Ari,RB,Home,Dal,W 28-16,2.4,0/0,0,0,0,5,13,0,1,8,0,1,0,0,0,3.1
Kenyan Drake,Bal,RB,Home,Ind,L 19-22,2.0,0/0,0,0,0,1,0,0,2,31,0,3,0,1,0,3.1
Trey Sermon,Ind,RB,Away,Bal,W 22-19,2.0,0/0,0,0,0,5,17,0,1,4,0,2,0,0,0,3.1
Hunter Luepke,Dal,RB,Away,Ari,L 16-28,0.0,0/0,0,0,0,1,9,0,1,12,0,1,0,0,0,3.1
Tim Jones,Jax,WR,Home,Hou,L 17-37,0.0,0/0,0,0,0,0,0,0,2,11,0,3,0,0,0,3.1
Quentin Johnston,LAC,WR,Away,Min,W 28-24,4.4,0/0,0,0,0,0,0,0,2,10,0,3,0,0,0,3.0
Isaiah Likely,Bal,TE,Home,Ind,L 19-22,2.9,0/0,0,0,0,0,0,0,1,20,0,2,0,0,0,3.0
Demario Douglas,NE,WR,Away,NYJ,W 15-10,3.8,0/0,0,0,0,1,5,0,1,15,0,3,0,0,0,3.0
Mitchell Wilcox,Cin,TE,Home,LAR,W 19-16,2.7,0/0,0,0,0,0,0,0,2,10,0,3,0,0,0,3.0
Kylen Granson,Ind,TE,Away,Bal,W 22-19,7.4,0/0,0,0,0,0,0,0,2,9,0,4,0,0,0,2.9
Mike Gesicki,NE,TE,Away,NYJ,W 15-10,5.1,0/0,0,0,0,0,0,0,1,18,0,1,0,0,0,2.8
Joshua Kelley,LAC,RB,Away,Min,W 28-24,14.2,0/0,0,0,0,11,12,0,1,5,0,1,0,0,0,2.7
Pierre Strong Jr.,Cle,RB,Home,Ten,W 27-3,3.3,0/0,0,0,0,6,27,0,0,0,0,0,0,0,0,2.7
Brenton Strange,Jax,TE,Home,Hou,L 17-37,0.3,0/0,0,0,0,0,0,0,2,7,0,2,0,0,0,2.7
Zach Ertz,Ari,TE,Home,Dal,W 28-16,9.2,0/0,0,0,0,0,0,0,2,6,0,2,0,0,0,2.6
Cade Otton,TB,TE,Home,Phi,L 11-25,7.6,0/0,0,0,0,0,0,0,1,16,0,2,0,0,0,2.6
Deven Thompkins,TB,WR,Home,Phi,L 11-25,3.3,0/0,0,0,0,0,0,0,2,6,0,4,0,0,0,2.6
DeAndre Carter,LV,WR,Home,Pit,L 18-23,1.3,0/0,0,0,0,0,0,0,1,16,0,1,0,0,0,2.6
Chase Claypool,Mia,WR,Home,Den,W 70-20,5.7,0/0,0,0,0,0,0,0,1,15,0,4,0,0,0,2.5
Durham Smythe,Mia,TE,Home,Den,W 70-20,7.1,0/0,0,0,0,0,0,0,1,15,0,1,0,0,0,2.5
Tommy Tremble,Car,TE,Away,Sea,L 27-37,0.4,0/0,0,0,0,0,0,0,1,15,0,1,0,0,0,2.5
KhaDarel Hodge,Atl,WR,Away,Det,L 6-20,0.4,0/0,0,0,0,0,0,0,1,15,0,1,0,0,0,2.5
Chuba Hubbard,Car,RB,Away,Sea,L 27-37,8.7,0/0,0,0,0,1,2,0,2,2,0,3,0,0,0,2.4
Dalton Kincaid,Buf,TE,Away,Wsh,W 37-3,7.8,0/0,0,0,0,0,0,0,2,3,0,2,0,0,0,2.3
River Cracraft,Mia,WR,Home,Den,W 70-20,7.2,0/0,0,0,0,0,0,0,1,13,0,1,0,0,0,2.3
Randall Cobb,NYJ,WR,Home,NE,L 10-15,3.7,0/0,0,0,0,0,0,0,1,12,0,2,0,0,0,2.2
Emanuel Wilson,GB,RB,Home,NO,W 18-17,3.6,0/0,0,0,0,2,6,0,1,6,0,1,0,0,0,2.2
Dawson Knox,Buf,TE,Away,Wsh,W 37-3,7.5,0/0,0,0,0,0,0,0,1,11,0,3,0,0,0,2.1
Hayden Hurst,Car,TE,Away,Sea,L 27-37,7.8,0/0,0,0,0,0,0,0,1,11,0,3,0,0,0,2.1
Drew Ogletree,Ind,TE,Away,Bal,W 22-19,3.5,0/0,0,0,0,0,0,0,1,11,0,2,0,0,0,2.1
Nate Adkins,Den,TE,Away,Mia,L 20-70,0.0,0/0,0,0,0,0,0,0,1,11,0,1,0,0,0,2.1
Derrick Henry,Ten,RB,Away,Cle,L 3-27,16.8,0/0,0,0,0,11,20,0,0,0,0,0,0,0,0,2.0
Jaxon Smith-Njigba,Sea,WR,Home,Car,W 37-27,8.8,0/0,0,0,0,0,0,0,1,10,0,3,0,0,0,2.0
Michael Mayer,LV,TE,Home,Pit,L 18-23,3.0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0
Samori Toure,GB,WR,Home,NO,W 18-17,4.8,0/0,0,0,0,0,0,0,0,0,0,3,0,0,0,2.0
MyCole Pruitt,Atl,TE,Away,Det,L 6-20,0.0,0/0,0,0,0,0,0,0,1,10,0,1,0,0,0,2.0
Dalton Schultz,Hou,TE,Away,Jax,W 37-17,8.9,0/0,0,0,0,0,0,0,1,9,0,3,0,0,0,1.9
Noah Gray,KC,TE,Home,Chi,W 41-10,3.4,0/0,0,0,0,0,0,0,1,9,0,2,0,0,0,1.9
C.J. Uzomah,NYJ,TE,Home,NE,L 10-15,1.7,0/0,0,0,0,0,0,0,1,9,0,1,0,0,0,1.9
Trey Palmer,TB,WR,Home,Phi,L 11-25,4.3,0/0,0,0,0,0,0,0,1,8,0,1,0,0,0,1.8
Daniel Bellinger,NYG,TE,Away,SF,L 12-30,2.1,0/0,0,0,0,0,0,0,1,8,0,1,0,0,0,1.8
Ian Thomas,Car,TE,Away,Sea,L 27-37,0.4,0/0,0,0,0,0,0,0,1,8,0,1,0,0,0,1.8
Laviska Shenault Jr.,Car,WR,Away,Sea,L 27-37,2.5,0/0,0,0,0,2,7,0,1,0,0,1,0,0,0,1.7
C.J. Ham,Min,RB,Home,LAC,L 24-28,1.4,0/0,0,0,0,0,0,0,1,7,0,1,0,0,0,1.7
Drew Sample,Cin,TE,Home,LAR,W 19-16,4.8,0/0,0,0,0,0,0,0,1,7,0,1,0,0,0,1.7
Rashod Bateman,Bal,WR,Home,Ind,L 19-22,6.7,0/0,0,0,0,0,0,0,1,6,0,3,0,0,0,1.6
Charlie Jones,Cin,WR,Home,LAR,W 19-16,0.1,0/0,0,0,0,0,0,0,1,6,0,2,0,0,0,1.6
Tyler Scott,Chi,WR,Away,KC,L 10-41,1.0,0/0,0,0,0,0,0,0,1,6,0,3,0,0,0,1.6
Jack Stoll,Phi,TE,Away,TB,W 25-11,0.4,0/0,0,0,0,0,0,0,1,6,0,2,0,0,0,1.6
Jaleel McLaughlin,Den,RB,Away,Mia,L 20-70,1.7,0/0,0,0,0,5,15,0,0,0,0,0,0,0,0,1.5
Treylon Burks,Ten,WR,Away,Cle,L 3-27,8.8,0/0,0,0,0,0,0,0,1,5,0,6,0,0,0,1.5
JuJu Smith-Schuster,NE,WR,Away,NYJ,W 15-10,7.9,0/0,0,0,0,0,0,0,1,5,0,3,0,0,0,1.5
Damien Harris,Buf,RB,Away,Wsh,W 37-3,3.1,0/0,0,0,0,5,15,0,0,0,0,0,0,0,0,1.5
Craig Reynolds,Det,RB,Home,Atl,W 20-6,9.2,0/0,0,0,0,4,15,0,0,0,0,0,0,0,0,1.5
DeeJay Dallas,Sea,RB,Home,Car,W 37-27,2.1,0/0,0,0,0,2,7,0,1,-2,0,1,0,0,0,1.5
Khalil Shakir,Buf,WR,Away,Wsh,W 37-3,1.1,0/0,0,0,0,0,0,0,1,5,0,1,0,0,0,1.5
Brandon Powell,Min,WR,Home,LAC,L 24-28,0.3,0/0,0,0,0,0,0,0,1,5,0,1,0,0,0,1.5
Luke Farrell,Jax,TE,Home,Hou,L 17-37,0.2,0/0,0,0,0,0,0,0,1,4,0,1,0,0,0,1.4
Michael Carter,NYJ,RB,Home,NE,L 10-15,4.4,0/0,0,0,0,0,0,0,1,3,0,1,0,0,0,1.3
Zonovan Knight,Det,RB,Home,Atl,W 20-6,3.2,0/0,0,0,0,3,13,0,0,0,0,0,0,0,0,1.3
Isaiah McKenzie,Ind,WR,Away,Bal,W 22-19,2.9,0/0,0,0,0,0,0,0,1,3,0,1,0,0,0,1.3
Ben Skowronek,LAR,WR,Away,Cin,L 16-19,4.1,0/0,0,0,0,0,0,0,1,3,0,1,0,0,0,1.3
Derius Davis,LAC,WR,Away,Min,W 28-24,0.9,0/0,0,0,0,0,0,0,1,3,0,1,0,0,0,1.3
Peyton Hendershot,Dal,TE,Away,Ari,L 16-28,1.1,0/0,0,0,0,0,0,0,1,3,0,1,0,0,0,1.3
Trey McBride,Ari,TE,Home,Dal,W 28-16,4.6,0/0,0,0,0,0,0,0,1,2,0,1,0,0,0,1.2
Jordan Mason,SF,RB,Home,NYG,W 30-12,0.0,0/0,0,0,0,3,11,0,0,0,0,0,0,0,0,1.1
Kadarius Toney,KC,WR,Home,Chi,W 41-10,9.1,0/0,0,0,0,0,0,0,1,-1,0,1,0,0,0,0.9
Isaiah Spiller,LAC,RB,Away,Min,W 28-24,2.7,0/0,0,0,0,2,7,0,0,0,0,0,0,0,0,0.7
Sam Howell,Wsh,QB,Home,Buf,L 3-37,15.0,19/29,170,0,4,1,18,0,0,0,0,0,0,0,0,0.6
Trayveon Williams,Cin,RB,Home,LAR,W 19-16,4.7,0/0,0,0,0,1,4,0,0,0,0,2,0,0,0,0.4
Harrison Bryant,Cle,TE,Home,Ten,W 27-3,2.1,0/0,0,0,0,2,4,0,0,0,0,0,0,0,0,0.4
C.J. Beathard,Jax,QB,Home,Hou,L 17-37,0.0,2/2,9,0,0,0,0,0,0,0,0,0,0,0,0,0.36
Kyle Juszczyk,SF,RB,Home,NYG,W 30-12,1.2,0/0,0,0,0,1,3,0,0,0,0,0,0,0,0,0.3
Emari Demercado,Ari,RB,Home,Dal,W 28-16,1.5,0/0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.2
Tyrod Taylor,NYG,QB,Away,SF,L 12-30,0.0,0/1,0,0,0,1,2,0,0,0,0,0,0,0,0,0.2
Sean Tucker,TB,RB,Home,Phi,L 11-25,5.3,0/0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.1
Marquise Goodwin,Cle,WR,Home,Ten,W 27-3,2.0,0/0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.1
Darnell Mooney,Chi,WR,Away,KC,L 10-41,9.1,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Josh Reynolds,Det,WR,Home,Atl,W 20-6,10.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D'Onta Foreman,Chi,RB,Away,KC,L 10-41,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Deuce Vaughn,Dal,RB,Away,Ari,L 16-28,3.6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ronnie Rivers,LAR,RB,Away,Cin,L 16-19,4.5,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jalin Hyatt,NYG,WR,Away,SF,L 12-30,3.7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Isaiah Hodgins,NYG,WR,Away,SF,L 12-30,7.6,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Marvin Jones Jr.,Det,WR,Home,Atl,W 20-6,4.2,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Zamir White,LV,RB,Home,Pit,L 18-23,3.4,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mecole Hardman Jr.,NYJ,WR,Home,NE,L 10-15,1.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nick Westbrook-Ikhine,Ten,WR,Away,Cle,L 3-27,6.8,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Justyn Ross,KC,WR,Home,Chi,W 41-10,2.0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Elijah Dotson,LAC,RB,Away,Min,W 28-24,7.4,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Chase Brown,Cin,RB,Home,LAR,W 19-16,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Darnell Washington,Pit,TE,Away,LV,W 23-18,1.7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Austin Hooper,LV,TE,Home,Pit,L 18-23,4.3,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Luke Schoonmaker,Dal,TE,Away,Ari,L 16-28,0.6,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Sterling Shepard,NYG,WR,Away,SF,L 12-30,0.9,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Adam Trautman,Den,TE,Away,Mia,L 20-70,6.5,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
KaVontae Turpin,Dal,WR,Away,Ari,L 16-28,2.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Cedric Tillman,Cle,WR,Home,Ten,W 27-3,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ty Montgomery II,NE,RB,Away,NYJ,W 15-10,1.3,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dorian Thompson-Robinson,Cle,QB,Home,Ten,W 27-3,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ke'Shawn Vaughn,TB,RB,Home,Phi,L 11-25,1.4,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Devin Duvernay,Bal,WR,Home,Ind,L 19-22,3.1,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Chris Rodriguez Jr.,Wsh,RB,Home,Buf,L 3-37,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jalen Tolbert,Dal,WR,Away,Ari,L 16-28,1.5,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Eric Gray,NYG,RB,Away,SF,L 12-30,3.6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tucker Kraft,GB,TE,Home,NO,W 18-17,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Connor Heyward,Pit,TE,Away,LV,W 23-18,1.1,0/0,0,0,0,1,0,0,0,0,0,2,0,0,0,0.0
Blake Bell,KC,TE,Home,Chi,W 41-10,1.3,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Julius Chestnut,Ten,RB,Away,Cle,L 3-27,0.1,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ray-Ray McCloud III,SF,WR,Home,NYG,W 30-12,4.1,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Cedrick Wilson Jr.,Mia,WR,Home,Den,W 70-20,4.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alec Ingold,Mia,RB,Home,Den,W 70-20,3.3,0/0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0
Robert Tonyan,Chi,TE,Away,KC,L 10-41,1.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Brock Wright,Det,TE,Home,Atl,W 20-6,1.7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Xavier Gipson,NYJ,WR,Home,NE,L 10-15,0.2,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Malik Willis,Ten,QB,Away,Cle,L 3-27,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andrei Iosivas,Cin,WR,Home,LAR,W 19-16,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mo Alie-Cox,Ind,TE,Away,Bal,W 22-19,3.8,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Brandon Bolden,LV,RB,Home,Pit,L 18-23,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dyami Brown,Wsh,WR,Home,Buf,L 3-37,3.2,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Jarrett Stidham,Den,QB,Away,Mia,L 20-70,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
David Bell,Cle,WR,Home,Ten,W 27-3,0.9,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Greg Dortch,Ari,WR,Home,Dal,W 28-16,0.1,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Travis Homer,Chi,RB,Away,KC,L 10-41,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tre Tucker,LV,WR,Home,Pit,L 18-23,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Velus Jones Jr.,Chi,WR,Away,KC,L 10-41,0.2,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Josiah Deguara,GB,TE,Home,NO,W 18-17,1.5,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Demarcus Robinson,LAR,WR,Away,Cin,L 16-19,0.6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jeremy Ruckert,NYJ,TE,Home,NE,L 10-15,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mike Boone,Hou,RB,Away,Jax,W 37-17,2.3,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Antoine Green,Det,WR,Home,Atl,W 20-6,0.5,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Malik Heath,GB,WR,Home,NO,W 18-17,2.0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
Xavier Hutchinson,Hou,WR,Away,Jax,W 37-17,1.1,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Patrick Ricard,Bal,RB,Home,Ind,L 19-22,0.6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jordan Akins,Cle,TE,Home,Ten,W 27-3,1.6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ross Dwelley,SF,TE,Home,NYG,W 30-12,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Reggie Gilliam,Buf,RB,Away,Wsh,W 37-3,0.5,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Britain Covey,Phi,WR,Away,TB,W 25-11,0.1,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Brycen Hopkins,LAR,TE,Away,Cin,L 16-19,3.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tre' McKitty,LAC,TE,Away,Min,W 28-24,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Teagan Quitoriano,Hou,TE,Away,Jax,W 37-17,0.6,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Miles Boykin,Pit,WR,Away,LV,W 23-18,1.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Scott Miller,Atl,WR,Away,Det,L 6-20,0.5,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Michael Burton,Den,RB,Away,Mia,L 20-70,0.7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Lil'Jordan Humphrey,Den,WR,Away,Mia,L 20-70,2.8,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Byron Pringle,Wsh,WR,Home,Buf,L 3-37,0.5,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
James Mitchell,Det,TE,Home,Atl,W 20-6,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Zach Pascal,Ari,WR,Home,Dal,W 28-16,1.3,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
